,bitstamp:/USD-BTC,bitstamp:/USD:/free,bitstamp:/USD:/locked,bitstamp:/USD:/total,bitstamp:/BTC:/free,bitstamp:/BTC:/locked,bitstamp:/BTC:/total,bitstamp:/BTC:/worth,net_worth,base_symbol
0,19274.33,10000.0,0.0,10000.0,0.05,0.0,0.05,963.7165000000001,10963.7165,USD
1,19434.87,8000.0,0.0,8000.0,0.15345366,0.0,0.15345366,2982.3519331241996,10982.351933124199,USD
2,21365.7,8000.0,0.0,8000.0,0.15345366,0.0,0.15345366,3278.644863462,11278.644863462,USD
3,22814.24,8000.0,0.0,8000.0,0.15345366,0.0,0.15345366,3500.9286281184,11500.9286281184,USD
4,23136.14,8000.0,0.0,8000.0,0.15345366,0.0,0.15345366,3550.3253612723997,11550.3253612724,USD
5,23842.99,8000.0,0.0,8000.0,0.15345366,0.0,0.15345366,3658.7940808434,11658.7940808434,USD
6,23470.85,8000.0,0.0,8000.0,0.15345366,0.0,0.15345366,3601.687835811,11601.687835811,USD
7,22732.01,8000.0,0.0,8000.0,0.15345366,0.0,0.15345366,3488.3101336565996,11488.3101336566,USD
8,23835.1,8000.0,0.0,8000.0,0.15345366,0.0,0.15345366,3657.5833314659994,11657.583331466,USD
9,23247.71,8000.0,0.0,8000.0,0.15345366,0.0,0.15345366,3567.4461861185996,11567.4461861186,USD
10,23726.28,8000.0,0.0,8000.0,0.15345366,0.0,0.15345366,3640.8845041847994,11640.8845041848,USD
11,24705.15,8725.99,0.0,8725.99,0.12276293,0.0,0.12276293,3032.8766000895002,11758.8666000895,USD
12,26466.28,6980.79,0.0,6980.79,0.19319197,0.0,0.19319197,5113.0727717716,12093.8627717716,USD
13,26259.6,6980.79,0.0,6980.79,0.19319197,0.0,0.19319197,5073.1438554119995,12053.933855412,USD
14,27037.91,6980.79,0.0,6980.79,0.19319197,0.0,0.19319197,5223.507097582699,12204.2970975827,USD
15,27370.0,8022.36,0.0,8022.36,0.15455358,0.0,0.15455358,4230.1314846,12252.4914846,USD
16,28881.3,6417.89,0.0,6417.89,0.21299932,0.0,0.21299932,6151.697260716,12569.587260716,USD
17,28992.79,6417.89,0.0,6417.89,0.21299932,0.0,0.21299932,6175.4445549028,12593.3345549028,USD
18,29402.64,6417.89,0.0,6417.89,0.21299932,0.0,0.21299932,6262.7423262048,12680.632326204799,USD
19,32216.53,6417.89,0.0,6417.89,0.21299932,0.0,0.21299932,6862.0989827595995,13279.9889827596,USD
20,33097.83,7786.19,0.0,7786.19,0.17039946,0.0,0.17039946,5639.8523591718,13426.042359171799,USD
21,32005.88,6228.95,0.0,6228.95,0.21730797,0.0,0.21730797,6955.1328108636,13184.0828108636,USD
22,34039.05,6228.95,0.0,6228.95,0.21730797,0.0,0.21730797,7396.9568562285,13625.9068562285,USD
23,36849.94,7703.9,0.0,7703.9,0.17384638,0.0,0.17384638,6406.2286722172,14110.1286722172,USD
24,39510.49,6163.12,0.0,6163.12,0.21553329,0.0,0.21553329,8515.8258992121,14678.9458992121,USD
25,40667.07,6163.12,0.0,6163.12,0.21553329,0.0,0.21553329,8765.107391760299,14928.227391760298,USD
26,40239.06,6163.12,0.0,6163.12,0.21553329,0.0,0.21553329,8672.8569883074,14835.9769883074,USD
27,38173.73,6163.12,0.0,6163.12,0.21553329,0.0,0.21553329,8227.709618471701,14390.8296184717,USD
28,35455.58,7803.73,0.0,7803.73,0.17242663,0.0,0.17242663,6113.4861740954,13917.2161740954,USD
29,34035.02,6242.98,0.0,6242.98,0.2163145,0.0,0.2163145,7362.268333789999,13605.248333789998,USD
30,37393.49,6242.98,0.0,6242.98,0.2163145,0.0,0.2163145,8088.754092605,14331.734092604998,USD
31,39134.35,6242.98,0.0,6242.98,0.2163145,0.0,0.2163145,8465.327353075,14708.307353074999,USD
32,36756.57,7930.97,0.0,7930.97,0.1730516,0.0,0.1730516,6360.783249012,14291.753249012,USD
33,36000.0,7930.97,0.0,7930.97,0.1730516,0.0,0.1730516,6229.8576,14160.8276,USD
34,35819.25,7930.97,0.0,7930.97,0.1730516,0.0,0.1730516,6198.5785233,14129.5485233,USD
35,36616.95,7930.97,0.0,7930.97,0.1730516,0.0,0.1730516,6336.62178462,14267.591784619999,USD
36,35917.62,7930.97,0.0,7930.97,0.1730516,0.0,0.1730516,6215.601609192,14146.571609192,USD
37,35496.91,7930.97,0.0,7930.97,0.1730516,0.0,0.1730516,6142.797070556001,14073.767070556001,USD
38,30818.18,7930.97,0.0,7930.97,0.1730516,0.0,0.1730516,5333.135358088,13264.105358088,USD
39,32992.06,6344.78,0.0,6344.78,0.22436644,0.0,0.22436644,7402.311050466399,13747.091050466399,USD
40,32117.49,6344.78,0.0,6344.78,0.22436644,0.0,0.22436644,7206.0868930356,13550.8668930356,USD
41,32288.83,7781.67,0.0,7781.67,0.17949315,0.0,0.17949315,5795.6238065145,13577.293806514499,USD
42,32261.22,7781.67,0.0,7781.67,0.17949315,0.0,0.17949315,5790.668000643,13572.338000643,USD
43,32504.53,6225.34,0.0,6225.34,0.22758991,0.0,0.22758991,7397.7030572922995,13623.0430572923,USD
44,30424.62,6225.34,0.0,6225.34,0.22758991,0.0,0.22758991,6924.3365275842,13149.6765275842,USD
45,33484.87,6225.34,0.0,6225.34,0.22758991,0.0,0.22758991,7620.818549661701,13846.1585496617,USD
46,34249.64,6225.34,0.0,6225.34,0.22758991,0.0,0.22758991,7794.8724851324005,14020.2124851324,USD
47,34323.0,6225.34,0.0,6225.34,0.22758991,0.0,0.22758991,7811.56848093,14036.90848093,USD
48,33141.38,6225.34,0.0,6225.34,0.22758991,0.0,0.22758991,7542.6436914758,13767.9836914758,USD
49,33532.74,6225.34,0.0,6225.34,0.22758991,0.0,0.22758991,7631.713278653399,13857.053278653399,USD
50,35522.16,7747.1,0.0,7747.1,0.18207193,0.0,0.18207193,6467.588228968801,14214.6882289688,USD
51,37691.63,6197.68,0.0,6197.68,0.22555943,0.0,0.22555943,8501.7025785709,14699.3825785709,USD
52,36996.32,7892.92,0.0,7892.92,0.18044754,0.0,0.18044754,6675.894933052799,14568.8149330528,USD
53,38320.0,6314.34,0.0,6314.34,0.22298799,0.0,0.22298799,8544.899776799999,14859.2397768,USD
54,39282.1,8018.19,0.0,8018.19,0.17839039,0.0,0.17839039,7007.549139019,15025.739139018999,USD
55,38858.39,6414.55,0.0,6414.55,0.21909163,0.0,0.21909163,8513.5480042757,14928.0980042757,USD
56,46416.45,8112.15,0.0,8112.15,0.1752733,0.0,0.1752733,8135.564365785,16247.714365785,USD
57,46505.2,8112.15,0.0,8112.15,0.1752733,0.0,0.1752733,8151.119871159999,16263.269871159999,USD
58,44854.63,6489.72,0.0,6489.72,0.21005565,0.0,0.21005565,9421.9684601595,15911.688460159501,USD
59,47981.48,8368.46,0.0,8368.46,0.16804452,0.0,0.16804452,8063.024775489601,16431.4847754896,USD
60,47395.84,6694.77,0.0,6694.77,0.2028219,0.0,0.2028219,9612.914320896,16307.684320896,USD
61,47228.48,6694.77,0.0,6694.77,0.2028219,0.0,0.2028219,9578.970047712,16273.740047712,USD
62,48662.5,8604.82,0.0,8604.82,0.16225752,0.0,0.16225752,7895.856567,16500.676567,USD
63,47942.57,8604.82,0.0,8604.82,0.16225752,0.0,0.16225752,7779.042510626399,16383.862510626399,USD
64,49166.53,6883.86,0.0,6883.86,0.19804617,0.0,0.19804617,9737.2429586901,16621.1029586901,USD
65,52174.28,6883.86,0.0,6883.86,0.19804617,0.0,0.19804617,10332.916326507599,17216.7763265076,USD
66,51579.54,8944.24,0.0,8944.24,0.15843694,0.0,0.15843694,8172.1044842076,17116.3444842076,USD
67,55988.58,7155.39,0.0,7155.39,0.19301422,0.0,0.19301422,10806.5920976076,17961.9820976076,USD
68,55936.04,7155.39,0.0,7155.39,0.19301422,0.0,0.19301422,10796.4511304888,17951.8411304888,USD
69,57492.91,7155.39,0.0,7155.39,0.19301422,0.0,0.19301422,11096.9491791802,18252.3391791802,USD
70,54173.65,7155.39,0.0,7155.39,0.19301422,0.0,0.19301422,10456.284799302999,17611.674799303,USD
71,48887.93,9240.37,0.0,9240.37,0.15441138,0.0,0.15441138,7548.852736643399,16789.2227366434,USD
72,49754.0,7392.3,0.0,7392.3,0.19210023,0.0,0.19210023,9557.75484342,16950.05484342,USD
73,47088.58,9298.12,0.0,9298.12,0.15368018,0.0,0.15368018,7236.5814503444,16534.7014503444,USD
74,46314.83,9298.12,0.0,9298.12,0.15368018,0.0,0.15368018,7117.6714110694,16415.7914110694,USD
75,46109.98,7438.5,0.0,7438.5,0.19371142,0.0,0.19371142,8932.0297019716,16370.5297019716,USD
76,45240.96,9219.55,0.0,9219.55,0.15496914,0.0,0.15496914,7010.9526639744,16230.5026639744,USD
77,49629.33,7375.64,0.0,7375.64,0.19560444,0.0,0.19560444,9707.7173022252,17083.3573022252,USD
78,48516.35,7375.64,0.0,7375.64,0.19560444,0.0,0.19560444,9490.013472593999,16865.653472594,USD
79,50379.68,7375.64,0.0,7375.64,0.19560444,0.0,0.19560444,9854.489093779199,17230.1290937792,USD
80,48360.5,9340.63,0.0,9340.63,0.15648355,0.0,0.15648355,7567.622719775,16908.252719775,USD
81,48739.21,9340.63,0.0,9340.63,0.15648355,0.0,0.15648355,7626.8846049955,16967.5146049955,USD
82,48904.63,9340.63,0.0,9340.63,0.15648355,0.0,0.15648355,7652.770113836499,16993.4001138365,USD
83,50967.3,7472.5,0.0,7472.5,0.19456849,0.0,0.19456849,9916.630600377,17389.130600377,USD
84,52427.8,7472.5,0.0,7472.5,0.19456849,0.0,0.19456849,10200.797880022,17673.297880022,USD
85,54929.02,9506.54,0.0,9506.54,0.15565479,0.0,0.15565479,8549.965073005798,18056.5050730058,USD
86,55852.29,7605.23,0.0,7605.23,0.19016496,0.0,0.19016496,10621.1484937584,18226.3784937584,USD
87,57772.09,7605.23,0.0,7605.23,0.19016496,0.0,0.19016496,10986.227183966399,18591.4571839664,USD
88,57271.04,7605.23,0.0,7605.23,0.19016496,0.0,0.19016496,10890.9450307584,18496.1750307584,USD
89,61165.19,7605.23,0.0,7605.23,0.19016496,0.0,0.19016496,11631.4759097424,19236.7059097424,USD
90,59016.39,9924.55,0.0,9924.55,0.15213197,0.0,0.15213197,8978.2796729883,18902.8296729883,USD
91,55644.37,9924.55,0.0,9924.55,0.15213197,0.0,0.15213197,8465.2876275089,18389.8376275089,USD
92,56908.34,7939.64,0.0,7939.64,0.18769639,0.0,0.18769639,10681.4899788926,18621.1299788926,USD
93,58901.8,7939.64,0.0,7939.64,0.18769639,0.0,0.18769639,11055.655224502,18995.295224502,USD
94,57648.05,7939.64,0.0,7939.64,0.18769639,0.0,0.18769639,10820.3308755395,18759.9708755395,USD
95,58072.0,10097.21,0.0,10097.21,0.15015711,0.0,0.15015711,8719.923691920001,18817.13369192,USD
96,58138.39,10097.21,0.0,10097.21,0.15015711,0.0,0.15015711,8729.8926224529,18827.102622452898,USD
97,57381.79,8077.77,0.0,8077.77,0.18478793,0.0,0.18478793,10603.4621937947,18681.232193794698,USD
98,54070.92,10192.1,0.0,10192.1,0.14783034,0.0,0.14783034,7993.3224877128,18185.4224877128,USD
99,54361.57,8153.68,0.0,8153.68,0.18541616,0.0,0.18541616,10079.5135609712,18233.1935609712,USD
100,52287.52,8153.68,0.0,8153.68,0.18541616,0.0,0.18541616,9694.9511743232,17848.6311743232,USD
101,51326.11,8153.68,0.0,8153.68,0.18541616,0.0,0.18541616,9516.6902239376,17670.3702239376,USD
102,55081.37,8153.68,0.0,8153.68,0.18541616,0.0,0.18541616,10212.9761129392,18366.6561129392,USD
103,55839.42,8153.68,0.0,8153.68,0.18541616,0.0,0.18541616,10353.5308330272,18507.210833027202,USD
104,55790.92,10218.17,0.0,10218.17,0.14833293,0.0,0.14833293,8275.6306309956,18493.8006309956,USD
105,57600.1,8174.54,0.0,8174.54,0.18485321,0.0,0.18485321,10647.563381320999,18822.103381320998,USD
106,58760.59,8174.54,0.0,8174.54,0.18485321,0.0,0.18485321,10862.083682993898,19036.623682993897,USD
107,58782.58,8174.54,0.0,8174.54,0.18485321,0.0,0.18485321,10866.1486050818,19040.6886050818,USD
108,58728.53,10341.25,0.0,10341.25,0.14788257,0.0,0.14788257,8684.925948722099,19026.1759487221,USD
109,59003.6,10341.25,0.0,10341.25,0.14788257,0.0,0.14788257,8725.604007251999,19066.854007251997,USD
110,57064.42,8273.0,0.0,8273.0,0.18283044,0.0,0.18283044,10433.1130169448,18706.1130169448,USD
111,58212.18,8273.0,0.0,8273.0,0.18283044,0.0,0.18283044,10642.9584827592,18915.9584827592,USD
112,59125.0,8273.0,0.0,8273.0,0.18283044,0.0,0.18283044,10809.849765,19082.849765,USD
113,58018.3,8273.0,0.0,8273.0,0.18283044,0.0,0.18283044,10607.511317052002,18880.511317052,USD
114,55932.83,8273.0,0.0,8273.0,0.18283044,0.0,0.18283044,10226.2239193452,18499.2239193452,USD
115,58096.6,8273.0,0.0,8273.0,0.18283044,0.0,0.18283044,10621.826940504001,18894.826940504,USD
116,58109.56,8273.0,0.0,8273.0,0.18283044,0.0,0.18283044,10624.1964230064,18897.1964230064,USD
117,59766.93,10391.46,0.0,10391.46,0.14626435,0.0,0.14626435,8741.771167945499,19133.231167945498,USD
118,59979.26,10391.46,0.0,10391.46,0.14626435,0.0,0.14626435,8772.827477380999,19164.287477380996,USD
119,59831.66,10391.46,0.0,10391.46,0.14626435,0.0,0.14626435,8751.238859321,19142.698859320997,USD
120,63564.48,10391.46,0.0,10391.46,0.14626435,0.0,0.14626435,9297.217350288,19688.677350288,USD
121,62986.09,8313.17,0.0,8313.17,0.17886212,0.0,0.17886212,11265.8255879108,19578.995587910802,USD
122,63239.19,8313.17,0.0,8313.17,0.17886212,0.0,0.17886212,11311.0955904828,19624.2655904828,USD
123,61436.24,10568.6,0.0,10568.6,0.1430897,0.0,0.1430897,8790.893150728,19359.493150727998,USD
124,60032.29,10568.6,0.0,10568.6,0.1430897,0.0,0.1430897,8590.002366412999,19158.602366412997,USD
125,56280.6,8454.88,0.0,8454.88,0.17819381,0.0,0.17819381,10028.854543086,18483.734543086,USD
126,55694.55,10454.63,0.0,10454.63,0.14255505,0.0,0.14255505,7939.5393599775,18394.1693599775,USD
127,56503.19,10454.63,0.0,10454.63,0.14255505,0.0,0.14255505,8054.8150756095,18509.4450756095,USD
128,53806.24,8363.7,0.0,8363.7,0.1794496,0.0,0.1794496,9655.508245504,18019.208245504,USD
129,51683.95,8363.7,0.0,8363.7,0.1794496,0.0,0.1794496,9274.664153919999,17638.36415392,USD
130,51176.65,10213.07,0.0,10213.07,0.14355968,0.0,0.14355968,7346.903497472,17559.973497471998,USD
131,50118.94,8170.46,0.0,8170.46,0.18335283,0.0,0.18335283,9189.4494856002,17359.9094856002,USD
132,49128.43,8170.46,0.0,8170.46,0.18335283,0.0,0.18335283,9007.8366739569,17178.2966739569,USD
133,54073.41,9966.62,0.0,9966.62,0.14668226,0.0,0.14668226,7931.609984706601,17898.229984706602,USD
134,55091.39,9966.62,0.0,9966.62,0.14668226,0.0,0.14668226,8080.9295917414,18047.5495917414,USD
135,54901.97,9966.62,0.0,9966.62,0.14668226,0.0,0.14668226,8053.145038052201,18019.765038052203,USD
136,53593.97,9966.62,0.0,9966.62,0.14668226,0.0,0.14668226,7861.284641972201,17827.9046419722,USD
137,57775.27,7973.3,0.0,7973.3,0.18376367,0.0,0.18376367,10616.995650440898,18590.295650440898,USD
138,57851.91,7973.3,0.0,7973.3,0.18376367,0.0,0.18376367,10631.0792981097,18604.3792981097,USD
139,56622.66,7973.3,0.0,7973.3,0.18376367,0.0,0.18376367,10405.1878067622,18378.4878067622,USD
140,57222.37,7973.3,0.0,7973.3,0.18376367,0.0,0.18376367,10515.3927172979,18488.6927172979,USD
141,53236.84,10070.07,0.0,10070.07,0.14701094,0.0,0.14701094,7826.3978910296,17896.4678910296,USD
142,57509.93,8056.06,0.0,8056.06,0.18472862,0.0,0.18472862,10623.730005196601,18679.790005196603,USD
143,56447.39,8056.06,0.0,8056.06,0.18472862,0.0,0.18472862,10427.4484573018,18483.5084573018,USD
144,57381.73,8056.06,0.0,8056.06,0.18472862,0.0,0.18472862,10600.047796112602,18656.107796112603,USD
145,58984.75,10169.71,0.0,10169.71,0.1477829,0.0,0.1477829,8716.937410774999,18886.647410774996,USD
146,58305.24,8135.77,0.0,8135.77,0.18216196,0.0,0.18216196,10620.9967966704,18756.766796670403,USD
147,55880.72,10253.6,0.0,10253.6,0.14572957,0.0,0.14572957,8143.4732968904,18397.0732968904,USD
148,56763.7,8202.88,0.0,8202.88,0.18231768,0.0,0.18231768,10349.026092216,18551.906092216,USD
149,56989.68,8202.88,0.0,8202.88,0.18231768,0.0,0.18231768,10390.226241542401,18593.106241542402,USD
150,56989.68,10274.69,0.0,10274.69,0.14585414,0.0,0.14585414,8312.1807652752,18586.8707652752,USD
